Read FITS...

Statistics of 60 x 60 x 70 image. Number of axis = 3. Bits per pixel=-32.
Command: ./main
Filtering image 'small_cube.fits' using attribute area with lambda=100.000000.
FreeImage version: 3.18.0
Image: Width=60 Height=60 Depth=70 Size=252000 Size2D=3600. nthreads for sorting and quantize the max tree: 4.
Size of int=4. Size of long=8. Size of float=4. Size of double=8.
/*** Sort the pixels ***/
Radix Sort (steps=2)
/*** Calculate the quantized image ***/
/*** Build the max tree of the quantized image. (threads 4)***/
25744 -1 241751
25744 -1 241751
61207 -1 225590
61208 -1 241820
61212 -1 196488
61225 -1 73266
61226 -1 112748
61227 -1 154247
61228 -1 209804
61229 -1 187839
61230 -1 78899
61241 -1 247438
61242 -1 183733
61249 -1 249124
61250 -1 244101
61266 -1 20563
61267 -1 144965
61285 -1 26192
61286 -1 152814
61287 -1 159148
61288 -1 242860
61289 -1 56201
61300 -1 104450
61301 -1 8455
61302 -1 125874
61303 -1 154797
61310 -1 57630
61326 -1 102108
61327 -1 207918
61344 -1 30108
61345 -1 184790
61346 -1 221728
61347 -1 59766
61348 -1 28976
61349 -1 200975
61355 -1 164220
61356 -1 112326
61403 -1 51462
61404 -1 163173
61405 -1 5682
61406 -1 83365
61407 -1 29715
61408 -1 227934
61409 -1 176872
61410 -1 223881
61414 -1 4700
61415 -1 21507
61416 -1 65196
61454 -1 93524
61455 -1 246477
61456 -1 114014
61457 -1 173983
61458 -1 184110
61459 -1 63367
61464 -1 112139
61465 -1 7710
61466 -1 52602
61467 -1 128389
61468 -1 22216
61469 -1 141054
61470 -1 52629
61471 -1 148208
61473 -1 245875
61474 -1 133696
61475 -1 65496
61476 -1 95511
61498 -1 227243
61499 -1 180064
61500 -1 143269
61501 -1 187536
61502 -1 226015
61509 -1 229766
61510 -1 17692
61511 -1 229600
61512 -1 135176
61513 -1 198169
61514 -1 244378
61515 -1 161882
61516 -1 149406
61517 -1 181914
61518 -1 53538
61525 -1 84047
61526 -1 208959
61527 -1 160692
61528 -1 146050
61529 -1 33650
61530 -1 8771
61531 -1 161857
61532 -1 102643
61533 -1 57746
61534 -1 6506
61535 -1 198680
61536 -1 244632
61554 -1 65818
61555 -1 17075
61556 -1 248505
61557 -1 243682
61558 -1 95082
61559 -1 232485
61560 -1 22875
61561 -1 128449
61562 -1 104210
61563 -1 125343
61568 -1 69522
61569 -1 188720
61570 -1 214220
61571 -1 177094
61572 -1 133291
61573 -1 88372
61574 -1 93148
61575 -1 100703
61576 -1 45874
61577 -1 156190
61585 -1 110229
61586 -1 160455
61587 -1 193627
61588 -1 244861
61589 -1 47046
61590 -1 190585
61591 -1 197680
61592 -1 227701
61614 -1 213098
61615 -1 48926
61616 -1 247459
61617 -1 154084
61618 -1 184722
61619 -1 159110
61620 -1 205290
61621 -1 143888
61622 -1 28386
61623 -1 221926
61624 -1 114523
61625 -1 4381
61626 -1 107490
61627 -1 206246
61628 -1 155390
61629 -1 100801
61632 -1 247810
61633 -1 77178
61634 -1 238456
61635 -1 90617
61636 -1 103705
61637 -1 219601
61646 -1 218109
61647 -1 129252
61648 -1 16048
61649 -1 78184
61650 -1 80942
61651 -1 109991
61662 -1 36066
61663 -1 199491
61675 -1 146507
61676 -1 22811
61677 -1 217272
61678 -1 128260
61679 -1 36057
61680 -1 74836
61681 -1 135037
61685 -1 104332
61686 -1 10764
61693 -1 158283
61707 -1 199383
61708 -1 1189
61709 -1 165341
61734 -1 153263
61735 -1 43928
61740 -1 70598
61747 -1 108816
61207 -1 225590
61789 -1 191256
61208 -1 241820
61793 -1 37300
61212 -1 196488
61794 -1 208379
61225 -1 73266
61895 -1 92259
61226 -1 112748
61969 -1 223570
61227 -1 154247
62028 -1 168969
61228 -1 209804
62029 -1 105521
61229 -1 187839
62030 -1 81573
61230 -1 78899
62040 -1 24436
61241 -1 247438
62077 -1 216833
61242 -1 183733
62078 -1 248923
61249 -1 249124
62086 -1 134563
61250 -1 244101
62087 -1 166085
61266 -1 20563
62088 -1 233112
62089 -1 180713
61267 -1 144965
62090 -1 10829
61285 -1 26192
62091 -1 64850
61286 -1 152814
62101 -1 112300
61287 -1 159148
62137 -1 70983
61288 -1 242860
62138 -1 39515
61289 -1 56201
62139 -1 121644
61300 -1 104450
61301 -1 8455
61302 -1 125874
61303 -1 154797
61310 -1 57630
61326 -1 102108
61327 -1 207918
61344 -1 30108
61345 -1 184790
61346 -1 221728
61347 -1 59766
61348 -1 28976
61349 -1 200975
61355 -1 164220
61356 -1 112326
62148 -1 130802
62149 -1 84527
62150 -1 111891
62151 -1 53973
62159 -1 27483
62199 -1 14223
62200 -1 175844
62209 -1 222380
62210 -1 207011
62211 -1 106190
62260 -1 206144
62268 -1 180052
62269 -1 229095
62270 -1 10218
62283 -1 214096
62284 -1 113563
62297 -1 150928
62321 -1 71643
62328 -1 42230
62341 -1 206978
62342 -1 97694
62343 -1 140231
62344 -1 39145
62352 -1 14528
62356 -1 223631
62357 -1 71472
62380 -1 127422
62381 -1 103755
62382 -1 208396
62383 -1 13630
62384 -1 106566
62385 -1 37021
62402 -1 238416
